Date,AUD,BGN,CAD,CHF,CYP,CZK,DKK,EEK,EUR,GBP,HKD,HUF,ISK,JPY,KRW,LTL,LVL,MTL,NOK,NZD,PLN,ROL,SEK,SGD,SIT,SKK,TRL,ZAR,TRY,CNY,HRK,IDR,MYR,PHP,RUB,THB,RON,BRL,MXN,INR,ILS
2000-08-30,1.7517,2.1844,1.4839,1.7379,0.64251,39.687,8.3679,17.5627,1.1225,0.69009,7.8117,293.22,81.09,106.41,1110.24,4.0072,0.61006,0.45056,9.0599,2.3457,4.4029,22900.0,9.4685,1.7258,234.52,47.94,653860.0,6.9673,,,,,,,,,,,,,
2000-08-31,1.7457,2.1854,1.4755,1.7402,0.64272,39.715,8.3723,17.5686,1.1228,0.68852,7.8026,293.47,81.07,106.41,1109.75,4.0046,0.61026,0.4506,9.0664,2.3356,4.3858,23000.0,9.4498,1.7221,234.66,47.869,653744.0,6.9754,,,,,,,,,,,,,
2000-09-01,1.745,2.1864,1.4718,1.7412,0.64301,39.665,8.3778,17.5765,1.1233,0.68917,7.7999,293.57,80.95,106.46,1105.84,4.0018,0.61009,0.4508,9.0682,2.3568,4.3979,23050.0,9.4131,1.7225,234.76,47.875,654164.0,6.9758,,,,,,,,,,,,,
2000-09-04,1.7369,2.1638,1.4728,1.7258,0.63609,39.298,8.2889,17.3851,1.1111,0.68378,7.8012,290.56,80.6,105.69,1104.66,4.0021,0.60778,0.44722,8.9794,2.3274,4.3667,23100.0,9.3278,1.7232,232.21,47.511,652801.0,6.9566,,,,,,,,,,,,,
2000-09-05,1.7487,2.191,1.4752,1.7432,0.64417,39.746,8.3951,17.6081,1.1254,0.68917,7.7963,294.47,81.26,105.99,1105.12,4.0003,0.61017,0.45105,9.0862,2.3405,4.3552,23210.0,9.4278,1.7269,235.22,48.163,655984.0,6.9901,,,,,,,,,,,,,
2000-09-06,1.7697,2.2078,1.4779,1.7557,0.64914,40.045,8.4612,17.7439,1.134,0.69029,7.8021,296.97,81.81,105.77,1107.86,4.0029,0.61148,0.45305,9.1308,2.3458,4.3602,23232.0,9.5384,1.7298,236.97,48.451,658094.0,7.0669,,,,,,,,,,,,,
2000-09-07,1.8038,2.2437,1.4837,1.7828,0.65976,40.662,8.5973,18.0343,1.1526,0.69698,7.7963,301.83,82.79,105.13,1110.18,4.0,0.61365,0.45781,9.2387,2.4154,4.4095,23287.0,9.6243,1.7305,240.85,49.104,662446.0,7.1067,,,,,,,,,,,,,
2000-09-08,1.7873,2.2284,1.475,1.7733,0.65531,40.444,8.5384,17.9125,1.1448,0.70109,7.7983,299.85,82.71,105.61,1108.54,4.0009,0.61328,0.45701,9.2026,2.3756,4.4245,23339.0,9.577,1.7359,239.34,48.827,661202.0,7.0898,,,,,,,,,,,,,
2000-09-11,1.7911,2.2609,1.4771,1.777,0.6649,40.969,8.6657,18.1747,1.1616,0.70601,7.7849,304.19,83.37,106.11,1107.07,3.9942,0.61563,0.46115,9.3205,2.3655,4.4253,23360.0,9.7317,1.7349,242.93,49.538,665240.0,7.1133,,,,,,,,,,,,,
2000-09-12,1.791,2.2596,1.4803,1.7667,0.66451,41.052,8.6659,18.1642,1.1609,0.71337,7.7968,303.91,83.53,106.28,1109.07,4.0014,0.61737,0.46169,9.264,2.3299,4.4576,23427.0,9.7376,1.7422,242.94,49.768,666359.0,7.1349,,,,,,,,,,,,,
