date,aud,bgn,cad,chf,czk,dkk,eur,gbp,hkd,huf,jpy,krw,nok,nzd,pln,sek,sgd,zar
2000-08-30,1.7517,2.1844,1.4839,1.7379,39.687,8.3679,1.1225,0.69009,7.8117,293.22,106.41,1110.24,9.0599,2.3457,4.4029,9.4685,1.7258,6.9673
2000-08-31,1.7457,2.1854,1.4755,1.7402,39.715,8.3723,1.1228,0.68852,7.8026,293.47,106.41,1109.75,9.0664,2.3356,4.3858,9.4498,1.7221,6.9754
2000-09-01,1.745,2.1864,1.4718,1.7412,39.665,8.3778,1.1233,0.68917,7.7999,293.57,106.46,1105.84,9.0682,2.3568,4.3979,9.4131,1.7225,6.9758
2000-09-04,1.7369,2.1638,1.4728,1.7258,39.298,8.2889,1.1111,0.68378,7.8012,290.56,105.69,1104.66,8.9794,2.3274,4.3667,9.3278,1.7232,6.9566
2000-09-05,1.7487,2.191,1.4752,1.7432,39.746,8.3951,1.1254,0.68917,7.7963,294.47,105.99,1105.12,9.0862,2.3405,4.3552,9.4278,1.7269,6.9901
2000-09-06,1.7697,2.2078,1.4779,1.7557,40.045,8.4612,1.134,0.69029,7.8021,296.97,105.77,1107.86,9.1308,2.3458,4.3602,9.5384,1.7298,7.0669
2000-09-07,1.8038,2.2437,1.4837,1.7828,40.662,8.5973,1.1526,0.69698,7.7963,301.83,105.13,1110.18,9.2387,2.4154,4.4095,9.6243,1.7305,7.1067
2000-09-08,1.7873,2.2284,1.475,1.7733,40.444,8.5384,1.1448,0.70109,7.7983,299.85,105.61,1108.54,9.2026,2.3756,4.4245,9.577,1.7359,7.0898
2000-09-11,1.7911,2.2609,1.4771,1.777,40.969,8.6657,1.1616,0.70601,7.7849,304.19,106.11,1107.07,9.3205,2.3655,4.4253,9.7317,1.7349,7.1133
2000-09-12,1.791,2.2596,1.4803,1.7667,41.052,8.6659,1.1609,0.71337,7.7968,303.91,106.28,1109.07,9.264,2.3299,4.4576,9.7376,1.7422,7.1349
2000-09-13,1.8041,2.2491,1.4792,1.7664,41.098,8.6271,1.1555,0.70973,7.7945,302.23,107.27,1108.79,9.2945,2.3716,4.5066,9.7261,1.7437,7.1286
2000-09-14,1.8101,2.2388,1.4904,1.756,40.763,8.5882,1.1504,0.70551,7.8148,301.22,107.16,1117.72,9.2494,2.387,4.4881,9.6796,1.7435,7.1283
2000-09-15,1.8178,2.2591,1.4875,1.7734,41.248,8.6672,1.1608,0.71097,7.8037,303.92,107.53,1120.89,9.307,2.3848,4.4785,9.7406,1.7457,7.1538
2000-09-18,1.8405,2.2825,1.4846,1.7869,41.834,8.7591,1.1729,0.71499,7.798,307.52,106.85,1131.79,9.3725,2.4175,4.5705,9.844,1.7476,7.2675
2000-09-19,1.8424,2.2785,1.4868,1.7797,41.562,8.743,1.1708,0.71233,7.8014,307.22,106.91,1127.02,9.373,2.4181,4.614,9.8092,1.746,7.2746
2000-09-20,1.8458,2.2961,1.4805,1.7842,41.809,8.8096,1.1798,0.70658,7.7876,309.51,106.54,1125.51,9.3989,2.4351,4.5967,9.8779,1.7449,7.2783
2000-09-21,1.8536,2.2832,1.4865,1.7715,41.632,8.7547,1.1732,0.70436,7.7845,308.31,106.43,1125.35,9.3759,2.4815,4.6021,9.8358,1.7434,7.3576
2000-09-22,1.7942,2.1892,1.4906,1.7231,40.081,8.3935,1.1249,0.682,7.7893,295.91,107.71,1133.99,9.0377,2.4053,4.5435,9.4803,1.7478,7.2243
2000-09-25,1.8344,2.2202,1.4885,1.7356,40.491,8.5059,1.1403,0.68734,7.8021,299.9,107.61,1125.52,9.1528,2.4286,4.5446,9.6385,1.7478,7.2249
2000-09-26,1.8262,2.2234,1.4878,1.7344,40.481,8.5216,1.1419,0.68836,7.7959,300.64,107.29,1117.93,9.1601,2.4306,4.5787,9.6715,1.7413,7.2164
2000-09-27,1.8226,2.1983,1.4904,1.7215,40.001,8.425,1.1285,0.6822,7.7984,297.34,107.76,1113.62,9.078,2.4158,4.5505,9.6028,1.7426,7.1951
2000-09-28,1.8199,2.2066,1.4992,1.7275,40.177,8.4522,1.1322,0.68218,7.7935,298.83,107.54,1115.24,9.0721,2.4009,4.529,9.6518,1.7434,7.2589
2000-09-29,1.846,2.2227,1.5058,1.7387,40.559,8.5077,1.1409,0.68078,7.7926,300.91,108.32,1114.51,9.1563,2.4541,4.5436,9.7279,1.7395,7.2727
2000-10-02,1.8404,2.2156,1.5036,1.7311,40.449,8.4697,1.1361,0.68064,7.7966,299.75,108.49,1118.0,9.1377,2.4658,4.5232,9.6876,1.7402,7.2234
2000-10-03,1.8458,2.2262,1.5077,1.7311,40.814,8.5055,1.1412,0.68538,7.7956,300.43,108.57,1119.0,9.1687,2.4837,4.5661,9.7398,1.7435,7.2372
2000-10-04,1.8629,2.2321,1.5003,1.736,40.851,8.5342,1.1455,0.68763,7.7939,301.47,109.18,1119.5,9.2039,2.484,4.5581,9.8194,1.7505,7.2471
2000-10-05,1.8558,2.2191,1.4962,1.7332,40.596,8.4828,1.1382,0.68598,7.7958,299.19,109.21,1119.0,9.16,2.475,4.5487,9.7485,1.749,7.2164
2000-10-06,1.8738,2.2375,1.4934,1.7525,40.946,8.5626,1.149,0.69103,7.7956,301.68,108.95,1115.99,9.233,2.4843,4.5585,9.7993,1.7482,7.2835
2000-10-09,1.8718,2.2419,1.503,1.7496,40.957,8.5711,1.1501,0.69074,7.7976,301.96,108.97,1117.5,9.2524,2.4817,4.5431,9.8384,1.75,7.3281
2000-10-10,1.8788,2.2362,1.5021,1.7419,40.752,8.5448,1.1467,0.68708,7.7975,300.99,108.02,1120.4,9.2392,2.4774,4.5683,9.8527,1.7505,7.3415
2000-10-11,1.8624,2.2408,1.503,1.7327,40.625,8.5416,1.1468,0.6844,7.7982,301.42,107.99,1121.5,9.258,2.4576,4.6154,9.8836,1.7491,7.3807
